age,education,black,hispanic,married,nodegree,re74,re75
23,11,1,0,0,1,0.0,0.0
20,7,0,1,0,1,0.0,0.0
21,11,1,0,0,1,0.0,0.0
25,10,1,0,0,1,0.0,0.0
22,11,1,0,1,1,0.0,0.0
23,11,1,0,0,1,0.0,0.0
24,12,0,0,0,0,0.0,0.0
29,11,1,0,0,1,0.0,0.0
24,11,1,0,0,1,0.0,0.0
22,9,1,0,0,1,0.0,0.0
28,11,1,0,0,1,0.0,0.0
18,10,0,1,0,1,0.0,0.0
26,10,1,0,0,1,0.0,0.0
25,10,1,0,0,1,0.0,0.0
24,10,1,0,0,1,0.0,0.0
26,5,1,0,0,1,0.0,0.0
36,10,1,0,0,1,0.0,0.0
22,11,1,0,0,1,0.0,0.0
25,12,1,0,0,0,0.0,0.0
27,11,1,0,0,1,0.0,0.0
29,8,1,0,0,1,0.0,0.0
24,12,1,0,0,0,0.0,0.0
22,10,1,0,0,1,0.0,0.0
24,7,1,0,0,1,0.0,0.0
29,12,1,0,0,0,0.0,0.0
25,11,0,1,1,1,0.0,0.0
30,12,1,0,0,0,0.0,0.0
22,8,1,0,0,1,0.0,0.0
55,3,1,0,0,1,0.0,0.0
20,10,1,0,0,1,0.0,0.0
34,11,1,0,0,1,0.0,0.0
22,12,1,0,0,0,0.0,0.0
32,12,0,1,1,0,0.0,0.0
31,10,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
50,10,0,1,0,1,0.0,0.0
25,11,1,0,1,1,0.0,0.0
23,10,1,0,1,1,0.0,0.0
38,10,1,0,0,1,0.0,0.0
25,10,1,0,1,1,0.0,0.0
42,10,1,0,0,1,0.0,0.0
39,12,1,0,1,0,0.0,0.0
34,13,1,0,1,0,0.0,0.0
24,7,1,0,0,1,0.0,0.0
32,11,1,0,0,1,0.0,0.0
27,13,1,0,0,0,0.0,0.0
26,10,1,0,0,1,0.0,0.0
44,11,1,0,0,1,0.0,0.0
25,11,1,0,0,1,0.0,0.0
25,12,1,0,0,0,0.0,0.0
28,12,1,0,1,0,0.0,0.0
32,10,1,0,0,1,0.0,0.0
22,10,1,0,0,1,0.0,0.0
19,9,1,0,0,1,0.0,0.0
31,10,1,0,1,1,0.0,0.0
23,11,1,0,0,1,0.0,0.0
33,11,1,0,0,1,0.0,0.0
27,10,1,0,0,1,0.0,0.0
29,11,1,0,1,1,0.0,0.0
23,10,1,0,0,1,0.0,0.0
25,9,1,0,1,1,0.0,0.0
25,10,1,0,0,1,0.0,0.0
24,10,1,0,0,1,0.0,0.0
28,8,0,0,0,1,0.0,0.0
26,6,1,0,0,1,0.0,0.0
30,14,1,0,1,0,0.0,0.0
25,10,1,0,1,1,0.0,0.0
29,11,1,0,1,1,0.0,0.0
25,12,1,0,1,0,0.0,0.0
28,13,1,0,0,0,0.0,0.0
23,11,1,0,0,1,0.0,0.0
54,11,1,0,0,1,0.0,0.0
33,5,0,1,0,1,0.0,0.0
20,8,1,0,0,1,0.0,0.0
45,9,1,0,0,1,0.0,0.0
39,6,1,0,0,1,0.0,0.0
26,12,1,0,0,0,0.0,0.0
23,10,1,0,0,1,0.0,0.0
27,12,0,0,0,0,0.0,0.0
33,9,0,1,1,1,0.0,0.0
25,10,1,0,1,1,0.0,0.0
23,8,1,0,0,1,0.0,0.0
18,8,1,0,0,1,0.0,0.0
17,8,1,0,0,1,0.0,0.0
19,9,0,1,0,1,0.0,0.0
18,8,0,1,0,1,0.0,0.0
18,11,1,0,0,1,0.0,0.0
17,11,1,0,0,1,0.0,0.0
19,10,1,0,0,1,0.0,0.0
19,10,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
18,10,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
18,7,1,0,0,1,0.0,0.0
18,11,1,0,0,1,0.0,0.0
19,10,0,1,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
19,11,1,0,0,1,0.0,0.0
17,8,0,0,0,1,0.0,0.0
18,10,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
17,8,1,0,0,1,0.0,0.0
19,6,0,1,0,1,0.0,0.0
19,10,0,0,0,1,0.0,0.0
17,11,0,0,0,1,0.0,0.0
20,9,1,0,0,1,0.0,0.0
17,9,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
17,9,1,0,0,1,0.0,0.0
19,11,1,0,0,1,0.0,0.0
19,10,1,0,1,1,0.0,0.0
20,9,1,0,0,1,0.0,0.0
18,9,1,0,0,1,0.0,0.0
18,11,1,0,0,1,0.0,0.0
17,10,0,1,0,1,0.0,0.0
19,11,1,0,0,1,0.0,0.0
17,10,1,0,0,1,0.0,0.0
17,9,0,1,0,1,0.0,0.0
18,10,1,0,0,1,0.0,0.0
21,9,1,0,0,1,591.499084472656,0.0
18,10,1,0,0,1,1563.2490234375,0.0
19,11,1,0,0,1,1626.623046875,0.0
24,9,1,0,0,1,2788.498046875,0.0
28,11,0,1,1,1,3472.94799804688,0.0
25,11,1,0,0,1,5281.2451171875,0.0
21,7,1,0,0,1,33799.94921875,0.0
39,11,1,0,0,1,0.0,83.68963623046879
36,12,1,0,0,0,0.0,142.39729309082
24,12,1,0,0,0,0.0,159.884704589844
17,11,1,0,0,1,989.267822265625,165.207702636719
18,10,1,0,0,1,960.4268188476559,240.10670471191398
18,10,1,0,0,1,0.0,273.552490234375
28,10,1,0,0,1,1471.29296875,367.823394775391
27,13,0,0,0,0,5214.30615234375,474.501800537109
31,12,0,0,0,0,0.0,494.643005371094
22,9,1,0,0,1,0.0,506.407592773438
31,10,1,0,0,1,0.0,520.4462890625
26,10,1,0,1,1,6140.3671875,558.773376464844
18,9,0,0,0,1,0.0,559.596008300781
23,11,1,0,0,1,6382.30908203125,580.790100097656
20,12,1,0,0,0,0.0,591.815124511719
19,10,1,0,0,1,0.0,604.153869628906
18,11,1,0,0,1,1064.69897460938,645.272277832031
17,10,1,0,0,1,0.0,664.5689697265619
27,12,1,0,1,0,0.0,752.3900756835941
27,11,1,0,0,1,3065.19409179688,766.298583984375
28,12,0,0,0,0,0.0,803.343017578125
28,11,1,0,0,1,2431.94897460938,863.4794921875
21,10,1,0,0,1,6661.06298828125,1162.36206054688
17,10,0,1,0,1,4905.119140625,1168.90197753906
26,11,1,0,0,1,4699.962890625,1174.99096679688
29,9,1,0,0,1,0.0,1203.82397460938
17,10,0,1,0,1,1203.60900878906,1239.62805175781
22,11,1,0,0,1,7914.130859375,1321.66003417969
24,11,1,0,0,1,0.0,1327.99304199219
20,12,1,0,0,0,557.698791503906,1371.47302246094
18,12,1,0,0,0,0.0,1405.5119628906198
24,11,0,0,0,1,2669.72509765625,1468.3830566406198
21,9,0,0,0,1,2988.412109375,1577.1669921875
30,8,1,0,0,1,0.0,1706.6569824218802
31,11,1,0,0,1,17711.880859375,1726.44494628906
17,10,0,1,0,1,1442.68103027344,1734.55895996094
19,9,1,0,0,1,8409.626953125,1778.08898925781
23,11,1,0,0,1,0.0,1896.02294921875
22,12,1,0,0,0,4380.01708984375,2003.68005371094
29,12,1,0,0,0,22859.439453125,2080.208984375
22,10,1,0,0,1,0.0,2174.955078125
29,13,1,0,0,0,718.2492065429691,2265.5791015625
19,11,1,0,0,1,721.340576171875,2445.58911132812
17,9,1,0,0,1,0.0,2595.26708984375
18,10,1,0,0,1,1716.5090332031198,2682.125
19,12,1,0,0,0,8417.0,2814.19506835938
20,6,1,0,0,1,6006.87890625,2850.61010742188
33,11,1,0,0,1,10523.830078125,2899.82006835938
36,11,0,1,0,1,5443.73388671875,3063.8779296875
25,11,1,0,0,1,15209.990234375,3072.72607421875
19,11,1,0,0,1,3504.01391601562,3285.67993164062
23,8,1,0,0,1,7724.283203125,3403.05590820312
17,11,1,0,0,1,4080.72998046875,3796.02905273438
43,10,1,0,0,1,2502.86791992188,4128.44287109375
26,11,1,0,1,1,0.0,4184.73193359375
27,11,1,0,1,1,0.0,4491.8837890625
19,11,1,0,0,1,6337.4921875,4503.06396484375
28,11,1,0,1,1,8593.1630859375,5393.89501953125
28,12,1,0,1,0,10585.1298828125,5551.4560546875
26,8,1,0,0,1,1126.2900390625,5562.59814453125
31,12,1,0,0,0,0.0,5613.9091796875
23,11,1,0,0,1,7617.36181640625,5716.4072265625
20,12,1,0,0,0,7182.4921875,6004.72802734375
28,10,1,0,1,1,8293.3447265625,6449.47998046875
39,12,1,0,1,0,19785.3203125,6608.13720703125
21,8,1,0,0,1,39570.6796875,6608.30419921875
22,11,1,0,0,1,8810.0673828125,6974.48388671875
20,11,1,0,0,1,8009.1640625,7666.875
21,11,0,1,0,1,2992.53393554688,8920.470703125
23,12,0,1,0,0,5721.69580078125,8960.68359375
29,9,1,0,0,1,9268.943359375,9160.693359375
28,9,1,0,1,1,10222.41015625,9210.447265625
30,11,1,0,1,1,0.0,9311.9384765625
25,10,1,0,1,1,13519.9697265625,9319.4443359375
28,11,1,0,1,1,824.388916015625,10033.91015625
22,10,0,0,0,1,27864.359375,10598.669921875
44,9,1,0,1,1,12260.7802734375,10857.240234375
21,9,1,0,0,1,31886.4296875,12357.2197265625
28,11,1,0,0,1,17491.44921875,13371.25
29,9,0,1,0,1,9594.3076171875,16341.16015625
25,9,1,0,1,1,24731.619140625,16946.630859375
22,10,0,0,1,1,25720.919921875,23031.98046875
47,12,0,0,0,0,0.0,0.0
50,12,1,0,1,0,0.0,0.0
44,12,0,0,0,0,0.0,0.0
28,12,1,0,1,0,0.0,0.0
54,12,0,0,1,0,0.0,0.0
55,12,0,1,1,0,0.0,0.0
47,12,0,0,1,0,0.0,0.0
25,12,1,0,0,0,0.0,0.0
44,12,0,0,1,0,0.0,0.0
50,12,1,0,1,0,0.0,0.0
23,12,1,0,0,0,0.0,0.0
49,14,0,0,1,0,0.0,0.0
55,14,0,0,1,0,0.0,0.0
34,14,1,0,1,0,0.0,0.0
34,16,0,0,1,0,0.0,0.0
55,13,0,1,1,0,0.0,0.0
52,12,0,0,1,0,0.0,0.0
52,15,0,0,1,0,0.0,0.0
30,16,0,0,1,0,0.0,0.0
21,12,0,0,0,0,0.0,0.0
30,17,0,0,0,0,0.0,0.0
44,12,0,0,1,0,0.0,0.0
46,12,0,0,0,0,0.0,0.0
53,17,0,0,1,0,0.0,0.0
26,16,0,0,0,0,0.0,0.0
49,12,0,0,1,0,0.0,0.0
39,15,0,0,1,0,0.0,0.0
26,17,0,0,1,0,0.0,0.0
32,16,0,0,1,0,0.0,0.0
34,12,0,0,1,0,0.0,0.0
31,14,0,0,1,0,0.0,0.0
39,17,0,1,1,0,0.0,0.0
40,17,0,0,1,0,0.0,0.0
31,12,0,0,1,0,0.0,0.0
27,13,0,0,1,0,0.0,0.0
48,12,0,0,1,0,0.0,0.0
41,13,0,0,1,0,0.0,0.0
26,14,0,0,0,0,0.0,0.0
50,17,0,0,0,0,0.0,0.0
48,12,0,0,1,0,0.0,0.0
45,16,0,0,1,0,0.0,0.0
37,13,0,0,1,0,0.0,0.0
33,12,0,0,1,0,0.0,0.0
31,12,0,0,1,0,0.0,0.0
36,12,1,0,1,0,0.0,0.0
44,13,0,0,1,0,0.0,0.0
28,17,0,0,1,0,0.0,0.0
30,17,0,0,1,0,0.0,0.0
42,16,0,0,1,0,0.0,0.0
30,12,0,0,1,0,0.0,0.0
27,16,0,0,1,0,0.0,0.0
37,12,0,0,1,0,0.0,0.0
37,12,0,0,1,0,0.0,0.0
45,12,0,0,1,0,0.0,0.0
35,16,0,0,1,0,0.0,0.0
37,17,0,0,1,0,0.0,0.0
27,17,0,0,1,0,0.0,0.0
47,14,0,0,1,0,0.0,0.0
48,12,0,0,1,0,0.0,0.0
42,12,0,0,1,0,0.0,0.0
43,12,0,0,1,0,0.0,0.0
46,12,0,0,1,0,0.0,0.0
46,12,0,0,1,0,0.0,0.0
46,12,0,0,1,0,0.0,0.0
29,16,0,0,1,0,0.0,0.0
39,13,0,0,1,0,0.0,0.0
32,12,0,0,1,0,0.0,0.0
48,16,0,0,1,0,0.0,0.0
48,16,0,0,1,0,0.0,0.0
41,13,0,0,1,0,0.0,0.0
42,13,0,0,1,0,0.0,0.0
42,13,0,0,1,0,0.0,0.0
42,13,0,0,1,0,0.0,0.0
54,13,0,0,1,0,0.0,0.0
29,14,0,0,1,0,0.0,0.0
54,12,0,0,1,0,0.0,0.0
54,12,0,0,1,0,0.0,0.0
26,14,0,0,1,0,0.0,0.0
43,17,0,0,1,0,0.0,0.0
54,12,0,0,1,0,0.0,0.0
37,12,0,0,1,0,0.0,0.0
54,16,0,0,1,0,0.0,0.0
48,17,0,0,1,0,0.0,0.0
44,12,0,0,1,0,0.0,0.0
54,12,0,0,1,0,0.0,0.0
38,12,0,0,1,0,0.0,0.0
37,13,0,0,1,0,0.0,0.0
27,17,0,0,1,0,0.0,0.0
51,12,0,0,1,0,0.0,0.0
39,12,0,0,1,0,0.0,0.0
55,14,0,0,1,0,0.0,0.0
54,13,0,0,1,0,0.0,0.0
54,13,0,0,1,0,0.0,0.0
34,12,0,0,1,0,0.0,0.0
50,14,0,0,1,0,0.0,0.0
50,12,0,0,1,0,0.0,0.0
21,14,0,1,0,0,0.0,71.61289978027341
26,12,0,0,1,0,0.0,71.61289978027341
21,13,0,0,0,0,0.0,692.854858398438
23,16,0,0,1,0,0.0,1521.7741699218802
21,15,0,0,0,0,0.0,3222.58056640625
23,14,0,0,0,0,0.0,3401.61279296875
27,16,0,0,1,0,0.0,4833.87109375
25,12,0,0,1,0,0.0,5729.0322265625
27,17,0,0,0,0,0.0,6087.0966796875
55,12,0,0,1,0,0.0,6266.12890625
20,12,0,0,1,0,0.0,7161.29052734375
18,12,0,0,1,0,0.0,8056.45166015625
27,12,0,0,1,0,0.0,8235.484375
28,16,0,0,1,0,0.0,8951.61328125
36,12,1,0,1,0,0.0,8951.61328125
33,13,1,0,1,0,0.0,10741.9345703125
36,12,0,0,1,0,0.0,10741.9345703125
27,13,0,0,1,0,0.0,16112.9033203125
45,17,0,0,1,0,0.0,16112.9033203125
45,17,0,0,1,0,0.0,16112.9033203125
45,17,0,0,1,0,0.0,16112.9033203125
31,12,0,0,1,0,0.0,17903.2265625
34,12,0,0,1,0,0.0,17903.2265625
34,12,0,0,1,0,0.0,17903.2265625
47,14,0,0,1,0,0.0,17903.2265625
35,16,0,0,1,0,0.0,19693.548828125
43,17,0,0,1,0,0.0,21161.61328125
25,12,1,0,1,0,0.0,21483.87109375
29,15,0,0,0,0,0.0,21483.87109375
31,12,0,0,1,0,0.0,21483.87109375
52,12,0,0,1,0,0.0,21483.87109375
22,16,0,0,0,0,0.0,22558.064453125
53,15,0,0,1,0,0.0,24169.35546875
29,17,0,0,1,0,0.0,25959.677734375
31,13,0,0,1,0,0.0,25959.677734375
35,12,0,0,1,0,0.0,26138.7109375
29,16,0,0,1,0,0.0,26854.83984375
39,12,0,0,1,0,0.0,28645.16015625
37,14,0,0,1,0,0.0,32225.806640625
30,14,0,0,1,0,0.0,32225.806640625
43,17,0,0,1,0,0.0,42251.61328125
32,17,0,0,1,0,0.0,46548.38671875
44,12,0,0,1,0,0.0,71612.90625
32,16,0,0,1,0,577.983703613281,6910.64501953125
43,12,1,0,1,0,715.1323852539059,1879.83874511719
24,12,1,0,0,0,783.7067260742191,0.0
22,13,0,0,0,0,783.7067260742191,0.0
35,15,0,0,1,0,979.633422851562,537.096740722656
26,15,0,0,0,0,979.633422851562,1879.83874511719
29,17,0,0,1,0,979.633422851562,8951.61328125
23,12,1,0,0,0,1077.5966796875,3222.58056640625
19,12,0,0,1,0,1154.00805664062,8593.548828125
48,16,0,0,1,0,1240.21594238281,1466.2741699218802
48,16,0,0,1,0,1240.21594238281,1466.2741699218802
22,12,1,0,1,0,1269.60485839844,0.0
20,12,1,0,0,0,1367.56823730469,12532.2578125
24,17,0,0,1,0,1371.48681640625,0.0
27,16,0,0,1,0,1469.45007324219,1253.22583007812
21,14,0,0,0,0,1506.67614746094,2685.48388671875
53,13,0,0,1,0,1567.41345214844,3938.70971679688
53,13,0,0,1,0,1567.41345214844,3938.70971679688
53,16,0,0,1,0,1665.37683105469,0.0
22,15,0,0,1,0,1763.3400878906198,5370.9677734375
21,15,0,0,0,0,1763.3400878906198,9667.7421875
30,12,0,0,1,0,1959.2668457031198,1790.32263183594
21,12,1,0,0,0,1959.2668457031198,5460.48388671875
27,16,0,0,1,0,1959.2668457031198,17545.16015625
22,15,0,0,0,0,1967.10388183594,2864.51611328125
22,12,1,0,1,0,2006.28918457031,2470.64526367188
23,13,0,0,1,0,2155.19360351562,5370.9677734375
33,12,0,0,1,0,2351.1201171875,0.0
24,13,0,0,0,0,2351.1201171875,3127.69360351562
20,12,1,0,0,0,2351.1201171875,4475.806640625
22,16,0,0,0,0,2351.1201171875,23274.193359375
19,12,0,0,1,0,2547.046875,10741.9345703125
22,15,0,0,1,0,2547.046875,17187.09765625
43,14,0,0,1,0,2645.01025390625,0.0
39,12,0,0,1,0,2742.97338867188,7161.29052734375
28,12,1,0,0,0,2938.90014648438,2864.51611328125
19,14,0,0,0,0,2938.90014648438,3222.58056640625
26,17,0,0,1,0,2938.90014648438,12532.2578125
18,12,0,0,1,0,3134.82690429688,11100.0
23,15,0,0,1,0,3320.95727539062,2506.45166015625
24,12,1,0,0,0,3330.75366210938,4654.8388671875
27,12,0,0,1,0,3526.68017578125,0.0
